iter	Logloss
0	0.6531308627
1	0.6224173865
2	0.5957713335
3	0.5724847988
4	0.5532339221
5	0.5355910422
6	0.5209280539
7	0.5073725635
8	0.4963570437
9	0.487082816
10	0.4783520533
11	0.4714838096
12	0.4641166258
13	0.4579579931
14	0.4525818679
15	0.4477099967
16	0.443357869
17	0.4386028531
18	0.4348485719
19	0.431486464
20	0.4283023485
21	0.425815934
22	0.4235226359
23	0.4213357437
24	0.4193034878
25	0.4174857704
26	0.4159393805
27	0.4142221521
28	0.4126947129
29	0.4111661702
30	0.4098287569
31	0.4085985196
32	0.407573517
33	0.406573891
34	0.4054401606
35	0.4042829658
36	0.4033268132
37	0.4023574012
38	0.4013435818
39	0.4007128259
40	0.3997359117
41	0.3991188517
42	0.3983409252
43	0.3975872057
44	0.3968896543
45	0.396263027
46	0.3957117497
47	0.3951714517
48	0.3947152586
49	0.3941207932
50	0.3936383414
51	0.3928894326
52	0.3923818579
53	0.3920163512
54	0.3913665537
55	0.3908759929
56	0.390584806
57	0.3901375557
58	0.3895583317
59	0.3894241477
60	0.3888282515
61	0.3882500261
62	0.3876084199
63	0.3873632354
64	0.38700168
65	0.3866645799
66	0.3861761202
67	0.3858524809
68	0.3854693245
69	0.3850771817
70	0.3848105772
71	0.3844705995
72	0.3840516652
73	0.3836156211
74	0.3832111153
75	0.3828027813
76	0.3824733885
77	0.3820341299
78	0.3812744737
79	0.3809178244
80	0.380616952
81	0.380277941
82	0.3800008464
83	0.3797334243
84	0.3793519201
85	0.3788590349
86	0.3786351405
87	0.3784016188
88	0.37797823
89	0.3777024008
90	0.3773393647
91	0.3768903043
92	0.3767118453
93	0.3763549794
94	0.3760678483
95	0.375628781
96	0.3752413494
97	0.3748229922
98	0.374649529
99	0.374179962
