model,run_id,C,penalty,solver,max_iter,random_state,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,n_estimators,max_depth,min_samples_split,min_samples_leaf,n_jobs,learning_rate,subsample,colsample_bytree,eval_metric,use_label_encoder,iterations,depth,random_seed,verbose,loss_function
Logistic_Regression,d6c51e3c321c4e0189676b9f14f81b59,1.0,l2,liblinear,1000.0,42.0,0.7991483321504613,0.6426332288401254,0.5481283422459893,0.5916305916305916,0.8402593712056627,921,114,169,205,,,,,,,,,,,,,,,
Random_Forest,174ad4db17454dd385eb751b5e96a767,,,,,42.0,0.8026969481902059,0.6632653061224489,0.5213903743315508,0.5838323353293413,0.8405164173706372,936,99,179,195,100.0,10.0,5.0,2.0,-1.0,,,,,,,,,,
Decision_Tree,ee01099dced942d98b814a89d94c77fb,,,,,42.0,0.7714691270404542,0.5734463276836158,0.5427807486631016,0.5576923076923077,0.7674119713761658,884,151,171,203,,10.0,5.0,2.0,,,,,,,,,,,
XGBoost,635528af55ae4568a047ea3a3d563989,,,,,42.0,0.7991483321504613,0.6501650165016502,0.5267379679144385,0.5819793205317577,0.837489989408148,929,106,177,197,100.0,6.0,,,,0.1,0.8,0.8,logloss,False,,,,,
CatBoost,e96424872f9043ed864f361a5b03bc7e,,,,,,0.8048261178140526,0.6677966101694915,0.5267379679144385,0.5889387144992526,0.8436384303391975,937,98,177,197,,,,,,0.1,,,,,100.0,6.0,42.0,False,Logloss
