model,accuracy,precision,recall,f1_score,roc_auc
Logistic_Regression,0.7991483321504613,0.6426332288401254,0.5481283422459893,0.5916305916305916,0.8402593712056627
Random_Forest,0.8026969481902059,0.6632653061224489,0.5213903743315508,0.5838323353293413,0.8405164173706372
Decision_Tree,0.7714691270404542,0.5734463276836158,0.5427807486631016,0.5576923076923077,0.7674119713761658
XGBoost,0.7991483321504613,0.6501650165016502,0.5267379679144385,0.5819793205317577,0.837489989408148
CatBoost,0.8048261178140526,0.6677966101694915,0.5267379679144385,0.5889387144992526,0.8436384303391975
